map,region,area type,elderly percentage,access to doctors,uninsured,diabetes,cardiovascular disease,poverty,african american,Hispanic,risk score,vulnerability score,covid risk,social vulnerability
30069,rockies,rural,high elderly percentage,null,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,very low hispanic population,0,0.073331211,very low covid risk index,very low social vulnerability rank
55089,midwest,suburban,moderate elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.000318,0.078955747,very low covid risk index,very low social vulnerability rank
38091,midwest,rural,very high elderly percentage,null,high uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.000637,0.092115038,very low covid risk index,very low social vulnerability rank
50013,northeast,small city,high elderly percentage,low access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.000955,0.096253847,very low covid risk index,very low social vulnerability rank
31149,midwest,rural,very high elderly percentage,null,high uninsured rate,high diabetes rate,very low cardiovascular disease rate,moderate poverty rate,low african american population,very low hispanic population,0.001273,0.112331529,very low covid risk index,very low social vulnerability rank
8093,rockies,suburban,moderate elderly percentage,very high access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.001592,0.099384485,very low covid risk index,very low social vulnerability rank
8047,rockies,suburban,very low elderly percentage,high access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.00191,0.239573384,very low covid risk index,very low social vulnerability rank
56011,rockies,rural,moderate elderly percentage,high access to doctors,high uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.002229,0.103788603,very low covid risk index,very low social vulnerability rank
8014,rockies,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.002547,0.143531784,very low covid risk index,very low social vulnerability rank
31103,midwest,rural,very high elderly percentage,null,very high uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,very low hispanic population,0.002865,0.132601082,very low covid risk index,very low social vulnerability rank
35028,southwest,rural,moderate elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,very high hispanic population,0.003184,0.14756447,very low covid risk index,very low social vulnerability rank
8113,rockies,rural,very low elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.003502,0.152446142,very low covid risk index,very low social vulnerability rank
30025,rockies,rural,moderate elderly percentage,low access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.00382,0.144486894,very low covid risk index,very low social vulnerability rank
30055,rockies,rural,very high elderly percentage,null,very high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,medium hispanic population,0.004139,0.146184867,very low covid risk index,very low social vulnerability rank
30097,rockies,rural,very high elderly percentage,low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.004457,0.143903216,very low covid risk index,very low social vulnerability rank
30033,rockies,rural,high elderly percentage,null,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,very low hispanic population,0.004776,0.132282713,very low covid risk index,very low social vulnerability rank
31165,midwest,rural,very high elderly percentage,very low access to doctors,very high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,very low hispanic population,0.005094,0.115621352,very low covid risk index,very low social vulnerability rank
8019,rockies,suburban,moderate elderly percentage,very high access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.005412,0.191234214,very low covid risk index,very low social vulnerability rank
55133,midwest,suburban,moderate elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.005731,0.125066327,very low covid risk index,very low social vulnerability rank
46119,midwest,rural,very high elderly percentage,low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.006049,0.135943967,very low covid risk index,very low social vulnerability rank
30075,rockies,rural,very high elderly percentage,null,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.006367,0.123049984,very low covid risk index,very low social vulnerability rank
8097,rockies,rural,moderate elderly percentage,low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.006686,0.239042768,very low covid risk index,very low social vulnerability rank
8091,rockies,rural,very high elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.007004,0.155364534,very low covid risk index,very low social vulnerability rank
8035,rockies,suburban,very low elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.007323,0.200838374,very low covid risk index,very low social vulnerability rank
56039,rockies,rural,very low elderly percentage,very low access to doctors,very high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,very high hispanic population,0.007641,0.295075878,very low covid risk index,very low social vulnerability rank
8067,rockies,rural,low elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.007959,0.220046694,very low covid risk index,very low social vulnerability rank
30059,rockies,rural,very high elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,low hispanic population,0.008278,0.143160352,very low covid risk index,very low social vulnerability rank
8107,rockies,rural,very low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.008596,0.227687573,very low covid risk index,very low social vulnerability rank
46061,midwest,rural,very low elderly percentage,null,moderate uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.008914,0.154462485,very low covid risk index,very low social vulnerability rank
